territory_id,territory_name,region,district,state_coverage
T-001,Territory 1,Midwest,District 1,FL
T-002,Territory 2,Northeast,District 1,GA
T-003,Territory 3,Northeast,District 1,IL
T-004,Territory 4,Midwest,District 1,MI
T-005,Territory 5,Midwest,District 1,OH
T-006,Territory 6,Midwest,District 1,GA
T-007,Territory 7,Northeast,District 1,FL
T-008,Territory 8,West,District 1,GA
T-009,Territory 9,Midwest,District 1,PA
T-010,Territory 10,Northeast,District 2,CA
T-011,Territory 11,West,District 2,PA
T-012,Territory 12,Southeast,District 2,IL
T-013,Territory 13,Northeast,District 2,MI
T-014,Territory 14,Southeast,District 2,NC
T-015,Territory 15,Northeast,District 2,MI
T-016,Territory 16,West,District 2,TX
T-017,Territory 17,West,District 2,OH
T-018,Territory 18,West,District 2,NC
T-019,Territory 19,Midwest,District 2,IL
T-020,Territory 20,Midwest,District 3,OH
T-021,Territory 21,Northeast,District 3,NC
T-022,Territory 22,Midwest,District 3,CA
T-023,Territory 23,West,District 3,NC
T-024,Territory 24,West,District 3,CA
T-025,Territory 25,Southeast,District 3,NC
T-026,Territory 26,Southeast,District 3,IL
T-027,Territory 27,Southeast,District 3,FL
T-028,Territory 28,West,District 3,OH
T-029,Territory 29,West,District 3,GA
T-030,Territory 30,Midwest,District 4,TX
T-031,Territory 31,Southeast,District 4,NY
T-032,Territory 32,West,District 4,CA
T-033,Territory 33,West,District 4,FL
T-034,Territory 34,Southeast,District 4,PA
T-035,Territory 35,Southeast,District 4,MI
T-036,Territory 36,West,District 4,PA
T-037,Territory 37,Northeast,District 4,CA
T-038,Territory 38,Southeast,District 4,CA
T-039,Territory 39,Southeast,District 4,FL
T-040,Territory 40,Southeast,District 5,GA
